#dx;dy
-94.73;46.20
-83.39;29.39
-72.05;12.57
-60.71;-4.24
-49.36;-21.06
-38.02;-37.88
-26.68;-54.69
-15.33;-71.51
-3.99;-88.33
7.35;-105.14
-85.84;64.44
-74.50;47.62
-63.16;30.80
-51.81;13.99
-40.47;-2.83
-29.13;-19.65
-17.78;-36.46
-6.44;-53.28
4.90;-70.10
16.24;-86.91
27.59;-103.73
-65.61;65.85
-54.26;49.03
-42.92;32.22
-31.58;15.40
-20.24;-1.41
-8.89;-18.23
2.45;-35.05
13.79;-51.86
25.14;-68.68
36.48;-85.50
-56.71;84.08
-45.37;67.27
-34.03;50.45
-22.69;33.63
-11.34;16.82
0.00;0.00
11.34;-16.82
22.69;-33.63
34.03;-50.45
45.37;-67.27
56.71;-84.08
-36.48;85.50
-25.14;68.68
-13.79;51.86
-2.45;35.05
8.89;18.23
20.24;1.41
31.58;-15.40
42.92;-32.22
54.26;-49.03
65.61;-65.85
-27.59;103.73
-16.24;86.91
-4.90;70.10
6.44;53.28
17.78;36.46
29.13;19.65
40.47;2.83
51.81;-13.99
63.16;-30.80
74.50;-47.62
85.84;-64.44
-7.35;105.14
3.99;88.33
15.33;71.51
26.68;54.69
38.02;37.88
49.36;21.06
60.71;4.24
72.05;-12.57
83.39;-29.39
94.73;-46.20
